País Português,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0026,0.0026,0.0051,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0103,0.0154,0.0154,0.018,0.018,0.0283,0.036,0.036,0.0385,0.0385,0.0462,0.0462,0.0539,0.0591,0.0642,0.0771,0.0771,0.0771,0.0848,0.0925,0.0925,0.1028,0.1079,0.1105,0.1207,0.1284,0.1464,0.149,0.1541,0.1644,0.1747,0.185,0.2183,0.2312,0.244,0.2672,0.2723,0.28,0.2954,0.3083,0.3134,0.3262,0.3391,0.3494
Albânia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.0695,0.0695,0.0695,0.0695,0.0695,0.139,0.1737,0.1737,0.2085,0.278,0.3475,0.3475,0.3822,0.5212,0.5212,0.556,0.5907,0.695,0.695,0.7297,0.7645,0.7645,0.7992,0.7992,0.7992,0.7992,0.7992,0.834,0.8687,0.9035,0.9035,0.9035,0.9035,0.9035,0.9035,0.9382,0.9382,0.9382,0.9382,0.973,0.973,1.0425,1.0425,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772,1.0772
Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0046,0.0068,0.0091,0.0091,0.0091,0.016,0.0205,0.0251,0.0342,0.0388,0.0388,0.0433,0.0479,0.057,0.0593,0.0661,0.0707,0.0798,0.1003,0.1323,0.1961,0.2394,0.2965,0.3466,0.3945,0.4401,0.4675,0.5359,0.5838,0.6271,0.6682,0.7138,0.7434,0.7662,0.7936,0.8301,0.8369,0.8552,0.8757,0.8939,0.9167,0.9281,0.9464,0.9555,0.9692,0.9852,0.9966,1.0125,1.0262,1.033,1.0467,1.0558,1.0604,1.0718,1.0855,1.1015,1.1129,1.1265,1.1448,1.1562,1.1744,1.1904,1.2064
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942,1.2942,1.2942,1.2942,3.8827,3.8827,3.8827,7.7655,10.354,15.531,18.1195,19.4137,20.708,22.0022,23.2964,27.1792,28.4734,29.7677,32.3562,33.6504,33.6504,37.5332,37.5332,40.1217,42.7102,42.7102,45.2986,45.2986,46.5929,47.8871,47.8871,47.8871,47.8871,51.7699,51.7699,51.7699,51.7699,53.0641,54.3584,54.3584,55.6526,56.9469,58.2411,58.2411,59.5354,59.5354,60.8296,60.8296,62.1239,62.1239,62.1239,62.1239,63.4181,63.4181
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0211,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,2.0423,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634,3.0634
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,0.0022,0.0022,0.0022,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0066,0.0066,0.0089,0.0089,0.0089,0.0133,0.0177,0.0199,0.0288,0.0398,0.042,0.0509,0.0597,0.062,0.0797,0.0863,0.0951,0.0974,0.1062,0.1239,0.1394,0.1593,0.1814,0.1836,0.1991,0.2146,0.2257,0.2456,0.2544,0.2721,0.2854,0.2921,0.3009,0.3253,0.3363,0.3651,0.3894,0.4093,0.4248,0.4359,0.458,0.4735,0.4823,0.4978,0.5244,0.5443,0.5753,0.5841,0.604,0.624,0.6483,0.6638,0.6748,0.6948,0.7058,0.7279,0.781
Arménia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337,0.0337,0.0337,0.1012,0.1012,0.1012,0.135,0.2362,0.2362,0.2362,0.2362,0.27,0.27,0.3037,0.3375,0.405,0.4387,0.4387,0.4725,0.5399,0.5737,0.6074,0.6412,0.6749,0.6749,0.7424,0.8099,0.8099,0.8099,0.9112,0.9449,0.9449,0.9787,1.0124,1.0124,1.0799,1.1136,1.1136,1.1811,1.3161,1.3499,1.3499,1.4174,1.4511,1.4849,1.5186,1.5524,1.5861,1.6198,1.6536
Austrália,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0039,0.0039,0.0078,0.0078,0.0078,0.0078,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0196,0.0235,0.0235,0.0275,0.0275,0.0275,0.0275,0.0314,0.0314,0.051,0.051,0.0549,0.0627,0.0667,0.0706,0.0784,0.0941,0.1098,0.1176,0.1373,0.1569,0.1765,0.1961,0.2,0.2118,0.2235,0.2353,0.2392,0.2431,0.2471,0.2471,0.2588,0.2627,0.2627,0.2627,0.2627,0.2627,0.2941,0.3098,0.3137,0.3255,0.3255,0.349,0.3569,0.3647,0.3647,0.3686,0.3726,0.3765,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3804,0.3843,0.3843,0.3843
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0111,0.0111,0.0111,0.0333,0.0333,0.0444,0.0666,0.0666,0.0888,0.1777,0.2332,0.3109,0.3331,0.5441,0.644,0.755,0.9549,1.1991,1.4212,1.6211,1.7543,1.8653,2.0652,2.2651,2.4427,2.6981,3.0312,3.2754,3.5419,3.7418,3.8861,4.086,4.2636,4.3636,4.5523,4.7855,4.9187,5.0187,5.2185,5.4517,5.6626,5.7959,5.8847,5.9513,6.0179,6.0957,6.3177,6.4399,6.4843,6.5398,6.6175,6.6397,6.6619,6.7286,6.7508,6.7619,6.8174,6.8285,6.8618,6.884,6.9173,6.9284,6.9506
